district;city;name;jan2021;feb2021;mar2021;apr2021;may2021;jun2021;jul2021;aug2021;sep2021;oct2021;nov2021;dec2021;jan2022;feb2022;mar2022;apr2022;may2022;jun2022;jul2022;aug2022;sep2022;oct2022;nov2022;dec2022;jan2023;feb2023;mar2023;apr2023;may2023;jun2023;jul2023;aug2023;sep2023;oct2023;nov2023;dec2023;jan2024;feb2024;mar2024;apr2024;may2024;jun2024;jul2024;aug2024;sep2024
Другое;Другое;Российская Федерация;88.7;88.96;89.64;89.79;90.5;91.26;91.53;92.34;93.1;93.67;94.3;95.42;96.3;97.58;116.87;131.92;135.27;136.96;137.45;137.13;138.75;139.65;139.92;140.37;141.5;141.24;141.25;141.43;141.42;140.33;140.33;141.27;142.39;144.04;143.96;144.13;135.4;135.13;134.61;135.16;134.79;135.02;135.87;135,87;135,76
;;Центральный федеральный округ;92.11;92.22;93.53;93.42;94.98;96.24;95.56;96.77;96.86;97.36;98.62;99.09;102.2;104.24;123.27;140.74;142.26;142.4;142.98;142.57;144.15;145.25;145.0;145.34;146.03;145.59;145.38;145.56;146.88;145.69;146.04;146.06;148.47;151.35;151.39;151.95;148.35;149.17;148.77;149.74;149.74;150.91;151.62;151,44;152,19
Белгородская область;Другое;Белгородская область;93.79;83.74;82.94;82.32;82.02;83.91;84.08;83.96;84.4;83.91;84.59;84.59;72.81;72.77;85.09;94.17;95.66;98.08;100.63;103.26;103.31;118.46;118.2;118.11;108.8;107.67;107.67;107.51;110.04;110.01;110.78;111.04;112.04;112.31;113.92;113.36;98.07;99.31;99.8;99.82;100.83;100.53;101.82;102,36;103,5
Белгородская область;Белгород;Белгород;98.16;81.4;81.4;81.83;81.47;83.65;83.63;83.16;82.26;81.33;81.91;81.13;66.53;66.07;85.05;93.44;94.79;97.08;97.08;97.32;96.0;121.42;119.17;118.52;102.23;102.05;101.41;100.97;103.24;103.48;104.69;104.65;104.3;104.91;106.85;106.37;101.98;103.8;104.54;104.54;105.72;105.32;107.03;107,03;107,46
Белгородская область;Губкин;Губкин;76.19;75.33;75.89;76.05;75.87;76.15;77.26;78;79.2;78.92;79.22;79.5;65.3;65.73;72.84;80.54;84.17;88.49;90.11;94.79;99.82;104.2;105.77;107.11;108.1;107.21;106.68;107.23;109.99;112.53;113.14;114.14;112.91;112.45;112.58;112.6;83.39;82.6;82.63;83.37;82.24;82.46;84.09;84,98;85,05
Белгородская область;Старый Оскол;Старый Оскол;94.9;92.96;89.85;86.73;86.48;88.71;88.71;88.83;91.47;91.72;92.82;94.18;89.28;89.81;91.94;103.13;103.71;105.34;113.39;119.58;119.58;120.53;123.16;123.38;122.17;119.01;120.59;120.59;123.48;121.52;121.52;121.93;126.85;126.85;128.61;127.6;98.46;99.69;99.91;99.58;101.43;101.04;101.33;102,72;105,86
Брянская область;Другое;Брянская область;86.67;88.07;86.6;87.24;88.62;90.64;89.04;91.32;92.56;93.08;93.72;95.66;95.67;96.91;116.85;139.94;144.88;148.02;148.02;147.15;148.22;148.98;150.75;150.08;148.23;148.63;147.32;147.61;146.7;145.68;145.69;144.83;145.16;147.85;146.79;150.05;149.77;151.66;151.37;152.89;154.42;153.17;157.97;158,01;153,28
Брянская область;Брянск;Брянск;92.35;94.3;91.48;91.48;94.12;96.89;93.99;96.83;97.9;98.6;98.6;102.1;102.66;105.37;127.35;147.58;153.16;156.61;156.61;154.49;155.4;155.4;158.99;157.39;153.62;153.62;151.03;151.03;149.72;148.0;147.48;145.67;145.16;147.86;147.86;151.23;151.46;151.46;152.8;156.55;158.36;156.08;163.19;163,19;158,09
Брянская область;Навля;Навля;78.33;79.47;79.47;79.47;76.58;80.67;81.5;84.12;87.78;87.78;87.78;83.48;76.23;71.38;86.35;103.55;110.77;115.06;109.5;112.01;112.01;114.58;113.75;112.89;115.59;115.59;116.43;113.82;112.01;112.01;112.8;115.39;120.1;126.81;116.94;123.86;118.69;120.34;124.81;125.55;122.38;120.34;124.07;130,28;125,61
Брянская область;Клинцы;Клинцы;72.56;73.22;73.64;76.09;76.09;76.09;76.32;77.83;78.84;79.3;81.95;82.68;83.83;83.83;106.49;146.68;149.25;149.25;149.25;149.25;150.58;150.58;147.74;147.74;147.74;147.74;147.74;147.74;147.74;147.74;147.74;147.74;147.74;147.74;147.74;147.74;147.74;147.74;144.08;144.08;147.2;147.2;149.0;147,02;147,2
